Index,Date2,Date,Economic Growth,Employment Growth,Inflation,Medium Term Rate,Policy Rate
1,1/31/07,20070131,Up,Flat,Down,Hawk,Flat
2,3/21/07,20070321,Flat,Flat,Up,Hawk,Flat
3,5/9/07,20070509,Down,Flat,Up,Hawk,Flat
4,6/28/07,20070628,Up,Flat,Down,Hawk,Flat
5,8/7/07,20070807,Up,Flat,Flat,Hawk,Flat
6,8/17/07,20070817,Down,Flat,Flat,Dove,Flat
7,9/18/07,20070918,Flat,Flat,Down,Dove,Lower
8,10/31/07,20071031,Up,Flat,Down,Dove,Lower
9,12/11/07,20071211,Down,Flat,Down,Dove,Lower
10,1/22/08,20080122,Down,Down,Flat,Dove,Lower
11,1/30/08,20080130,Down,Down,Flat,Dove,Lower
12,3/18/08,20080318,Down,Down,Up,Dove,Lower
13,4/30/08,20080430,Down,Down,Up,Dove,Lower
14,6/25/08,20080625,Up,Down,Up,Hawk,Flat
15,8/5/08,20080805,Up,Down,Up,Hawk,Flat
16,9/16/08,20080916,Down,Down,Up,Dove,Flat
17,10/8/08,20081008,Down,Flat,Down,Dove,Lower
18,10/29/08,20081029,Down,Flat,Down,Dove,Lower
19,12/16/08,20081216,Down,Down,Down,Dove,Lower
20,1/28/09,20090128,Down,Down,Down,Dove,Flat
21,3/18/09,20090318,Down,Down,Down,Dove,Flat
22,4/29/09,20090429,Down,Down,Flat,Dove,Flat
23,6/24/09,20090624,Down,Down,Down,Dove,Flat
24,8/12/09,20090812,Flat,Down,Down,Dove,Flat
25,9/23/09,20090923,Up,Down,Down,Dove,Flat
26,11/4/09,20091104,Up,Down,Down,Dove,Flat
27,12/16/09,20091216,Up,Flat,Down,Dove,Flat
28,1/27/10,20100127,Flat,Flat,Down,Dove,Flat
29,3/16/10,20100316,Flat,Flat,Down,Dove,Flat
30,4/28/10,20100428,Flat,Flat,Flat,Dove,Flat
31,6/23/10,20100623,Flat,Up,Down,Dove,Flat
32,8/10/10,20100810,Down,Down,Down,Dove,Flat
33,9/21/10,20100921,Down,Down,Flat,Dove,Flat
34,11/3/10,20101103,Flat,Flat,Down,Dove,Flat
35,12/14/10,20101214,Flat,Down,Down,Dove,Flat
36,1/26/11,20110126,Flat,Down,Down,Dove,Flat
37,3/15/11,20110315,Up,Flat,Up,Dove,Flat
38,4/27/11,20110427,Up,Flat,Up,Dove,Flat
39,6/22/11,20110622,Flat,Down,Up,Dove,Flat
40,8/9/11,20110809,Flat,Down,Down,Dove,Flat
41,9/21/11,20110921,Flat,Down,Down,Dove,Flat
42,11/2/11,20111102,Up,Down,Flat,Dove,Flat
43,12/13/11,20111213,Up,Flat,Down,Dove,Flat
44,1/25/12,20120125,Up,Up,Flat,Dove,Flat
45,3/13/12,20120313,Up,Up,Flat,Dove,Flat
46,4/25/12,20120425,Up,Up,Up,Dove,Flat
47,6/20/12,20120620,Up,Flat,Down,Dove,Flat
48,8/1/12,20120801,Down,Flat,Down,Dove,Flat
49,9/13/12,20120913,Up,Flat,Flat,Dove,Flat
50,10/24/12,20121024,Up,Flat,Up,Dove,Flat
51,12/12/12,20121212,Up,Up,Flat,Dove,Flat
52,1/30/13,20130130,Flat,Up,Flat,Dove,Flat
53,3/20/13,20130320,Up,Up,Flat,Dove,Flat
54,5/1/13,20130501,Up,Up,Flat,Dove,Flat
55,6/19/13,20130619,Up,Up,Down,Dove,Flat
56,7/31/13,20130731,Up,Up,Flat,Dove,Flat
57,9/18/13,20130918,Up,Up,Flat,Dove,Flat
58,10/30/13,20131030,Up,Up,Flat,Dove,Flat
59,12/18/13,20131218,Up,Up,Flat,Dove,Flat
60,1/29/14,20140129,Up,Up,Flat,Dove,Flat
61,3/19/14,20140319,Down,Up,Flat,Dove,Flat
62,4/30/14,20140430,Up,Up,Flat,Dove,Flat
63,6/18/14,20140618,Up,Up,Flat,Dove,Flat
64,7/30/14,20140730,Up,Up,Up,Dove,Flat
65,9/17/14,20140917,Up,Up,Flat,Dove,Flat
66,10/29/14,20141029,Up,Up,Down,Dove,Flat
67,12/17/14,20141217,Up,Up,Down,Dove,Flat
68,1/28/15,20150128,Up,Up,Down,Dove,Flat
69,3/18/15,20150318,Flat,Up,Down,Dove,Flat
70,4/29/15,20150429,Down,Flat,Flat,Dove,Flat
71,6/17/15,20150617,Up,Up,Flat,Dove,Flat
72,7/29/15,20150729,Up,Up,Flat,Dove,Flat
73,9/17/15,20150917,Up,Up,Down,Dove,Flat
74,10/28/15,20151028,Up,Flat,Down,Dove,Flat
75,12/16/15,20151216,Up,Up,Flat,Dove,Raise
76,1/27/16,20160127,Down,Up,Down,Dove,Flat
77,3/16/16,20160316,Up,Up,Up,Dove,Flat
78,4/27/16,20160427,Down,Up,Flat,Dove,Flat
79,6/15/16,20160615,Up,Flat,Down,Dove,Flat
80,7/27/16,20160727,Up,Up,Flat,Dove,Flat
81,9/21/16,20160921,Up,Up,Flat,Dove,Flat
82,11/2/16,20161102,Flat,Up,Flat,Dove,Flat
83,12/14/16,20161214,Up,Up,Up,Dove,Raise
84,2/1/17,20170201,Up,Up,Up,Dove,Flat
85,3/15/17,20170315,Up,Up,Flat,Hawk,Raise
86,5/3/17,20170503,Down,Up,Down,Hawk,Flat
87,6/14/17,20170614,Up,Up,Down,Hawk,Raise
88,7/26/17,20170726,Up,Up,Down,Hawk,Flat
89,9/20/17,20170920,Up,Up,Down,Hawk,Flat
90,11/1/17,20171101,Up,Up,Down,Hawk,Flat
91,12/13/17,20171213,Up,Up,Down,Hawk,Raise
92,1/31/18,20180131,Up,Up,Flat,Hawk,Flat
93,3/21/18,20180321,Up,Up,Up,Hawk,Raise
94,5/2/18,20180502,Up,Up,Flat,Hawk,Flat
95,6/13/18,20180613,Up,Up,Flat,Hawk,Raise
96,8/1/18,20180801,Up,Up,Flat,Hawk,Flat
97,9/26/18,20180926,Up,Up,Flat,Hawk,Raise
98,11/8/18,20181108,Up,Up,Flat,Hawk,Flat
99,12/19/18,20181219,Up,Up,Flat,Hawk,Raise
100,1/30/19,20190130,Up,Up,Down,Dove,Flat
101,3/20/19,20190320,Flat,Flat,Down,Dove,Flat
102,5/1/19,20190501,Up,Up,Flat,Dove,Flat
