DATE,BAMLC0A0CM
20070102,0.92
20070103,0.91
20070104,0.91
20070105,0.91
20070108,0.91
20070109,0.91
20070110,0.91
20070111,0.9
20070112,0.9
20070115,0.9
20070116,0.9
20070117,0.89
20070118,0.89
20070119,0.89
20070122,0.89
20070123,0.88
20070124,0.88
20070125,0.87
20070126,0.88
20070129,0.87
20070130,0.87
20070131,0.89
20070201,0.88
20070202,0.88
20070205,0.88
20070206,0.88
20070207,0.88
20070208,0.88
20070209,0.87
20070212,0.87
20070213,0.87
20070214,0.87
20070215,0.87
20070216,0.86
20070219,0.86
20070220,0.86
20070221,0.86
20070222,0.86
20070223,0.86
20070226,0.86
20070227,0.89
20070228,0.9
20070301,0.89
20070302,0.9
20070305,0.91
20070306,0.91
20070307,0.91
20070308,0.91
20070309,0.9
20070312,0.91
20070313,0.92
20070314,0.92
20070315,0.92
20070316,0.93
20070319,0.93
20070320,0.93
20070321,0.94
20070322,0.93
20070323,0.93
20070326,0.93
20070327,0.93
20070328,0.93
20070329,0.93
20070330,0.93
20070331,0.95
20070402,0.94
20070403,0.94
20070404,0.95
20070405,0.95
20070406,.
20070409,0.94
20070410,0.94
20070411,0.93
20070412,0.93
20070413,0.93
20070416,0.93
20070417,0.94
20070418,0.94
20070419,0.94
20070420,0.93
20070423,0.93
20070424,0.93
20070425,0.93
20070426,0.93
20070427,0.93
20070430,0.94
20070501,0.94
20070502,0.94
20070503,0.94
20070504,0.94
20070507,0.94
20070508,0.94
20070509,0.94
20070510,0.94
20070511,0.93
20070514,0.93
20070515,0.93
20070516,0.93
20070517,0.93
20070518,0.92
20070521,0.93
20070522,0.92
20070523,0.92
20070524,0.92
20070525,0.92
20070528,.
20070529,0.92
20070530,0.93
20070531,0.94
20070601,0.94
20070604,0.94
20070605,0.94
20070606,0.94
20070607,0.95
20070608,0.96
20070611,0.96
20070612,0.96
20070613,0.96
20070614,0.95
20070615,0.95
20070618,0.95
20070619,0.95
20070620,0.95
20070621,0.96
20070622,0.97
20070625,0.97
20070626,0.98
20070627,0.98
20070628,0.99
20070629,0.99
20070630,1
20070702,1.01
20070703,1
20070704,1
20070705,1
20070706,1
20070709,1
20070710,1.01
20070711,1.02
20070712,1.02
20070713,1.02
20070716,1.03
20070717,1.03
20070718,1.04
20070719,1.05
20070720,1.08
20070723,1.09
20070724,1.1
20070725,1.12
20070726,1.25
20070727,1.28
20070730,1.28
20070731,1.29
20070801,1.29
20070802,1.29
20070803,1.3
20070806,1.32
20070807,1.32
20070808,1.3
20070809,1.3
20070810,1.32
20070813,1.32
20070814,1.34
20070815,1.37
20070816,1.44
20070817,1.45
20070820,1.46
20070821,1.47
20070822,1.47
20070823,1.45
20070824,1.44
20070827,1.44
20070828,1.46
20070829,1.46
20070830,1.48
20070831,1.45
20070903,1.45
20070904,1.47
20070905,1.48
20070906,1.5
20070907,1.54
20070910,1.56
20070911,1.57
20070912,1.58
20070913,1.58
20070914,1.58
20070917,1.58
20070918,1.58
20070919,1.56
20070920,1.53
20070921,1.51
20070924,1.5
20070925,1.5
20070926,1.49
20070927,1.49
20070928,1.48
20070930,1.49
20071001,1.49
20071002,1.49
20071003,1.48
20071004,1.47
20071005,1.45
20071008,1.45
20071009,1.44
20071010,1.42
20071011,1.4
20071012,1.4
20071015,1.39
20071016,1.4
20071017,1.42
20071018,1.43
20071019,1.45
20071022,1.47
20071023,1.46
20071024,1.48
20071025,1.48
20071026,1.48
20071029,1.48
20071030,1.48
20071031,1.5
20071101,1.54
20071102,1.57
20071105,1.6
20071106,1.62
20071107,1.66
20071108,1.69
20071109,1.72
20071112,1.72
20071113,1.74
20071114,1.74
20071115,1.77
20071116,1.79
20071119,1.83
20071120,1.85
20071121,1.89
20071122,1.89
20071123,1.88
20071126,1.91
20071127,1.93
20071128,1.94
20071129,1.97
20071130,1.96
20071203,1.98
20071204,2
20071205,2.02
20071206,2.04
20071207,2.03
20071210,2.03
20071211,2.05
20071212,2.03
20071213,2.04
20071214,2.03
20071217,2.03
20071218,2.03
20071219,2.03
20071220,2.04
20071221,2.03
20071224,2.03
20071225,.
20071226,2.03
20071227,2.03
20071228,2.03
20071231,2.03
20080101,.
20080102,2.05
20080103,2.06
20080104,2.09
20080107,2.11
20080108,2.12
20080109,2.17
20080110,2.17
20080111,2.17
20080114,2.16
20080115,2.18
20080116,2.19
20080117,2.22
20080118,2.24
20080121,2.24
20080122,2.31
20080123,2.33
20080124,2.3
20080125,2.3
20080128,2.29
20080129,2.28
20080130,2.29
20080131,2.3
20080201,2.3
20080204,2.31
20080205,2.31
20080206,2.31
20080207,2.33
20080208,2.34
20080211,2.36
20080212,2.37
20080213,2.38
20080214,2.38
20080215,2.39
20080218,2.39
20080219,2.39
20080220,2.4
20080221,2.41
20080222,2.42
20080225,2.42
20080226,2.43
20080227,2.44
20080228,2.47
20080229,2.52
20080303,2.55
20080304,2.6
20080305,2.64
20080306,2.72
20080307,2.75
20080310,2.8
20080311,2.84
20080312,2.86
20080313,2.92
20080314,2.97
20080317,3.03
20080318,3.02
20080319,3.03
20080320,3.05
20080321,.
20080324,3.01
20080325,2.99
20080326,2.98
20080327,2.99
20080328,2.99
20080331,3
20080401,2.98
20080402,2.94
20080403,2.92
20080404,2.89
20080407,2.85
20080408,2.84
20080409,2.86
20080410,2.86
20080411,2.87
20080414,2.87
20080415,2.85
20080416,2.84
20080417,2.82
20080418,2.77
20080421,2.74
20080422,2.72
20080423,2.7
20080424,2.68
20080425,2.67
20080428,2.65
20080429,2.63
20080430,2.6
20080501,2.57
20080502,2.53
20080505,2.52
20080506,2.52
20080507,2.52
20080508,2.53
20080509,2.53
20080512,2.53
20080513,2.51
20080514,2.5
20080515,2.5
20080516,2.49
20080519,2.49
20080520,2.5
20080521,2.5
20080522,2.51
20080523,2.52
20080526,2.52
20080527,2.53
20080528,2.52
20080529,2.5
20080530,2.5
20080531,2.48
20080602,2.49
20080603,2.5
20080604,2.51
20080605,2.5
20080606,2.5
20080609,2.48
20080610,2.49
20080611,2.5
20080612,2.49
20080613,2.49
20080616,2.49
20080617,2.48
20080618,2.5
20080619,2.5
20080620,2.54
20080623,2.55
20080624,2.58
20080625,2.59
20080626,2.66
20080627,2.68
20080630,2.74
20080701,2.77
20080702,2.77
20080703,2.79
20080704,2.79
20080707,2.79
20080708,2.82
20080709,2.84
20080710,2.85
20080711,2.88
20080714,2.88
20080715,2.94
20080716,2.98
20080717,2.97
20080718,2.97
20080721,2.96
20080722,2.97
20080723,2.94
20080724,2.96
20080725,2.96
20080728,2.98
20080729,2.98
20080730,2.98
20080731,3
20080801,3
20080804,3
20080805,3
20080806,3
20080807,3.01
20080808,3.01
20080811,3.01
20080812,3.03
20080813,3.03
20080814,3.04
20080815,3.05
20080818,3.06
20080819,3.08
20080820,3.11
20080821,3.12
20080822,3.12
20080825,3.14
20080826,3.15
20080827,3.15
20080828,3.16
20080829,3.16
20080831,3.17
20080901,3.17
20080902,3.19
20080903,3.2
20080904,3.21
20080905,3.22
20080908,3.21
20080909,3.24
20080910,3.28
20080911,3.39
20080912,3.44
20080915,3.8
20080916,4.11
20080917,4.28
20080918,4.4
20080919,4.15
20080922,4.09
20080923,4.17
20080924,4.26
20080925,4.36
20080926,4.59
20080929,4.65
20080930,4.55
20081001,4.61
20081002,4.87
20081003,4.91
20081006,5.08
20081007,5.14
20081008,5.26
20081009,5.35
20081010,5.81
20081013,5.82
20081014,5.49
20081015,5.54
20081016,5.73
20081017,5.87
20081020,5.91
20081021,5.94
20081022,5.96
20081023,5.98
20081024,6.09
20081027,6.14
20081028,6.15
20081029,6.18
20081030,6.17
20081031,6.06
20081103,6.06
20081104,6.03
20081105,5.95
20081106,5.94
20081107,5.91
20081110,5.86
20081111,5.86
20081112,5.87
20081113,5.9
20081114,5.88
20081117,5.93
20081118,5.98
20081119,6.06
20081120,6.22
20081121,6.36
20081124,6.36
20081125,6.38
20081126,6.39
20081127,6.39
20081128,6.42
20081130,6.41
20081201,6.44
20081202,6.5
20081203,6.53
20081204,6.55
20081205,6.56
20081208,6.55
20081209,6.55
20081210,6.54
20081211,6.52
20081212,6.52
20081215,6.51
20081216,6.51
20081217,6.42
20081218,6.35
20081219,6.3
20081222,6.28
20081223,6.25
20081224,6.21
20081225,.
20081226,6.2
20081229,6.19
20081230,6.12
20081231,6.04
20090101,.
20090102,6.03
20090105,5.96
20090106,5.82
20090107,5.74
20090108,5.67
20090109,5.62
20090112,5.59
20090113,5.57
20090114,5.6
20090115,5.62
20090116,5.54
20090119,5.54
20090120,5.57
20090121,5.57
20090122,5.57
20090123,5.56
20090126,5.53
20090127,5.47
20090128,5.4
20090129,5.38
20090130,5.35
20090131,5.31
20090202,5.32
20090203,5.31
20090204,5.29
20090205,5.28
20090206,5.25
20090209,5.2
20090210,5.19
20090211,5.16
20090212,5.19
20090213,5.19
20090216,5.19
20090217,5.23
20090218,5.29
20090219,5.31
20090220,5.41
20090223,5.44
20090224,5.54
20090225,5.54
20090226,5.56
20090227,5.58
20090228,5.48
20090302,5.56
20090303,5.64
20090304,5.75
20090305,5.81
20090306,5.87
