Date,Percent
5/2/2014,2.54
5/5/2014,2.54
5/6/2014,2.53
5/7/2014,2.54
5/8/2014,2.54
5/9/2014,2.54
5/12/2014,2.5
5/13/2014,2.51
5/14/2014,2.55
5/15/2014,2.59
5/16/2014,2.58
5/19/2014,2.56
5/20/2014,2.57
5/21/2014,2.57
5/22/2014,2.57
5/23/2014,2.58
5/26/2014,2.58
5/27/2014,2.56
5/28/2014,2.61
5/29/2014,2.59
5/30/2014,2.57
5/31/2014,2.6
6/2/2014,2.53
6/3/2014,2.51
6/4/2014,2.51
6/5/2014,2.52
6/6/2014,2.47
6/9/2014,2.43
6/10/2014,2.4
6/11/2014,2.4
6/12/2014,2.43
6/13/2014,2.41
6/16/2014,2.4
6/17/2014,2.35
6/18/2014,2.38
6/19/2014,2.36
6/20/2014,2.34
6/23/2014,2.32
6/24/2014,2.36
6/25/2014,2.4
6/26/2014,2.43
6/27/2014,2.44
6/30/2014,2.49
7/1/2014,2.47
7/2/2014,2.42
7/3/2014,2.4
7/4/2014,2.4
7/7/2014,2.41
7/8/2014,2.44
7/9/2014,2.47
7/10/2014,2.55
7/11/2014,2.55
7/14/2014,2.52
7/15/2014,2.54
7/16/2014,2.56
7/17/2014,2.65
7/18/2014,2.69
7/21/2014,2.7
7/22/2014,2.69
7/23/2014,2.67
7/24/2014,2.62
7/25/2014,2.66
7/28/2014,2.64
7/29/2014,2.68
7/30/2014,2.66
7/31/2014,2.85
8/1/2014,3.05
8/4/2014,3.04
8/5/2014,2.99
8/6/2014,3.01
8/7/2014,3.01
8/8/2014,3
8/11/2014,2.92
8/12/2014,2.87
8/13/2014,2.85
8/14/2014,2.8
8/15/2014,2.8
8/18/2014,2.73
8/19/2014,2.69
8/20/2014,2.62
8/21/2014,2.63
8/22/2014,2.62
8/25/2014,2.61
8/26/2014,2.61
8/27/2014,2.63
8/28/2014,2.65
8/29/2014,2.64
8/31/2014,2.67
9/1/2014,2.67
9/2/2014,2.63
9/3/2014,2.66
9/4/2014,2.68
9/5/2014,2.73
9/8/2014,2.73
9/9/2014,2.73
9/10/2014,2.78
9/11/2014,2.81
9/12/2014,2.79
9/15/2014,2.82
9/16/2014,2.86
9/17/2014,2.81
9/18/2014,2.74
9/19/2014,2.74
9/22/2014,2.78
9/23/2014,2.86
9/24/2014,2.9
9/25/2014,3.03
9/26/2014,3.09
9/29/2014,3.18
9/30/2014,3.08
10/1/2014,3.14
10/2/2014,3.1
10/3/2014,2.99
10/6/2014,2.96
10/7/2014,3.05
10/8/2014,3.14
10/9/2014,3.16
10/10/2014,3.26
10/13/2014,3.26
10/14/2014,3.41
10/15/2014,3.62
10/16/2014,3.5
10/17/2014,3.26
10/20/2014,3.25
10/21/2014,3.1
10/22/2014,3.04
10/23/2014,2.98
10/24/2014,2.97
10/27/2014,2.98
10/28/2014,2.95
10/29/2014,2.89
10/30/2014,2.91
10/31/2014,2.88
11/3/2014,2.87
11/4/2014,2.91
11/5/2014,2.89
11/6/2014,2.88
11/7/2014,2.92
11/10/2014,2.89
11/11/2014,2.89
11/12/2014,2.89
11/13/2014,2.93
11/14/2014,2.97
11/17/2014,3
11/18/2014,3.06
11/19/2014,3.09
11/20/2014,3.12
11/21/2014,3.06
11/24/2014,3.06
11/25/2014,3.07
11/26/2014,3.08
11/27/2014,3.08
11/28/2014,3.16
11/30/2014,3.19
12/1/2014,3.29
12/2/2014,3.27
12/3/2014,3.25
12/4/2014,3.26
12/5/2014,3.2
12/8/2014,3.27
12/9/2014,3.41
12/10/2014,3.53
12/11/2014,3.56
12/12/2014,3.73
12/15/2014,3.78
12/16/2014,3.94
12/17/2014,3.73
12/18/2014,3.47
12/19/2014,3.42
12/22/2014,3.37
12/23/2014,3.27
12/24/2014,3.26
12/25/2014,.
12/26/2014,3.26
12/29/2014,3.29
12/30/2014,3.31
12/31/2014,3.32
1/1/2015,.
1/2/2015,3.36
1/5/2015,3.47
1/6/2015,3.6
1/7/2015,3.55
1/8/2015,3.46
1/9/2015,3.47
1/12/2015,3.53
1/13/2015,3.55
1/14/2015,3.65
1/15/2015,3.69
1/16/2015,.
1/19/2015,3.64
1/20/2015,3.63
1/21/2015,3.6
1/22/2015,3.51
1/23/2015,3.54
1/26/2015,3.48
1/27/2015,3.51
1/28/2015,3.53
1/29/2015,3.5
1/30/2015,3.57
1/31/2015,3.59
2/2/2015,3.58
2/3/2015,3.44
2/4/2015,3.38
2/5/2015,3.33
2/6/2015,3.15
2/9/2015,3.16
2/10/2015,3.12
2/11/2015,3.14
2/12/2015,3.13
2/13/2015,3.11
2/16/2015,3.1
2/17/2015,2.98
2/18/2015,3.04
2/19/2015,2.99
2/20/2015,2.95
2/23/2015,2.98
2/24/2015,3.01
2/25/2015,2.98
2/26/2015,2.9
2/27/2015,2.91
2/28/2015,2.92
3/2/2015,2.86
3/3/2015,2.86
3/4/2015,2.91
3/5/2015,2.92
3/6/2015,2.88
3/9/2015,2.95
3/10/2015,3.08
3/11/2015,3.03
3/12/2015,3.05
3/13/2015,3.11
3/16/2015,3.14
3/17/2015,3.2
3/18/2015,3.32
3/19/2015,3.21
3/20/2015,3.24
3/23/2015,3.24
3/24/2015,3.24
3/25/2015,3.2
3/26/2015,3.16
3/27/2015,3.19
3/30/2015,3.17
3/31/2015,3.23
4/1/2015,3.27
4/2/2015,3.23
4/3/2015,.
4/6/2015,3.21
4/7/2015,3.15
4/8/2015,3.1
4/9/2015,3.06
4/10/2015,3.04
4/13/2015,3.05
4/14/2015,3.08
4/15/2015,3.06
4/16/2015,3.09
4/17/2015,3.14
4/20/2015,3.09
4/21/2015,3.06
4/22/2015,3
4/23/2015,3.03
4/24/2015,3.05
4/27/2015,3.04
4/28/2015,3.01
4/29/2015,3.02
4/30/2015,3.07
5/1/2015,3.02
5/4/2015,2.99
5/5/2015,2.97
5/6/2015,2.99
5/7/2015,3.04
5/8/2015,3.03
5/11/2015,2.96
5/12/2015,3.05
5/13/2015,3.01
5/14/2015,3.03
5/15/2015,3.06
5/18/2015,3
5/19/2015,2.97
5/20/2015,2.99
5/21/2015,3.01
5/22/2015,2.96
5/25/2015,.
5/26/2015,3
5/27/2015,2.97
5/28/2015,2.99
5/29/2015,3
5/31/2015,3.07
6/1/2015,3
6/2/2015,2.97
6/3/2015,2.94
6/4/2015,3.03
6/5/2015,3.02
6/8/2015,3.07
6/9/2015,3.1
6/10/2015,3.04
6/11/2015,3.08
6/12/2015,3.09
6/15/2015,3.16
6/16/2015,3.21
6/17/2015,3.21
6/18/2015,3.17
6/19/2015,3.18
6/22/2015,3.07
6/23/2015,3.08
6/24/2015,3.12
6/25/2015,3.12
6/26/2015,3.1
6/29/2015,3.32
6/30/2015,3.41
7/1/2015,3.29
7/2/2015,3.32
7/3/2015,3.32
7/6/2015,3.46
7/7/2015,3.51
7/8/2015,3.56
7/9/2015,3.47
7/10/2015,3.33
7/13/2015,3.29
7/14/2015,3.31
7/15/2015,3.32
7/16/2015,3.3
7/17/2015,3.33
7/20/2015,3.32
7/21/2015,3.41
7/22/2015,3.48
7/23/2015,3.52
7/24/2015,3.55
7/27/2015,3.68
7/28/2015,3.63
7/29/2015,3.53
7/30/2015,3.46
7/31/2015,3.54
8/3/2015,3.59
8/4/2015,3.54
8/5/2015,3.49
8/6/2015,3.58
8/7/2015,3.68
8/10/2015,3.65
8/11/2015,3.8
8/12/2015,3.88
8/13/2015,3.78
8/14/2015,3.75
8/17/2015,3.79
8/18/2015,3.78
8/19/2015,3.9
8/20/2015,3.95
8/21/2015,4.04
8/24/2015,4.26
8/25/2015,4.04
8/26/2015,4.06
8/27/2015,3.96
8/28/2015,3.89
8/31/2015,3.9
9/1/2015,3.97
9/2/2015,3.92
9/3/2015,3.89
9/4/2015,3.92
9/7/2015,3.92
9/8/2015,3.83
9/9/2015,3.8
9/10/2015,3.77
9/11/2015,3.82
9/14/2015,3.83
9/15/2015,3.75
9/16/2015,3.78
9/17/2015,3.89
9/18/2015,3.97
9/21/2015,3.92
9/22/2015,4.1
9/23/2015,4.09
9/24/2015,4.23
9/25/2015,4.24
9/28/2015,4.53
9/29/2015,4.65
9/30/2015,4.58
10/1/2015,4.64
10/2/2015,4.77
10/5/2015,4.57
10/6/2015,4.48
10/7/2015,4.28
10/8/2015,4.22
10/9/2015,4.12
10/12/2015,4.12
10/13/2015,4.19
10/14/2015,4.28
10/15/2015,4.22
10/16/2015,4.16
10/19/2015,4.12
10/20/2015,4.02
10/21/2015,4
10/22/2015,4
10/23/2015,3.87
10/26/2015,3.88
10/27/2015,3.94
10/28/2015,3.84
10/29/2015,3.79
10/30/2015,3.78
10/31/2015,3.81
11/2/2015,3.73
11/3/2015,3.68
11/4/2015,3.65
11/5/2015,3.68
11/6/2015,3.71
11/9/2015,3.8
11/10/2015,3.88
11/11/2015,3.88
11/12/2015,3.96
11/13/2015,4.04
11/16/2015,4.07
11/17/2015,3.99
11/18/2015,3.99
11/19/2015,4.05
11/20/2015,4.06
11/23/2015,4.08
11/24/2015,4.12
11/25/2015,4.08
11/26/2015,4.08
11/27/2015,4.08
11/30/2015,4.05
12/1/2015,4.05
12/2/2015,3.99
12/3/2015,3.94
12/4/2015,4.01
12/7/2015,4.14
12/8/2015,4.26
12/9/2015,4.31
12/10/2015,4.28
12/11/2015,4.61
12/14/2015,4.8
12/15/2015,4.59
12/16/2015,4.5
12/17/2015,4.52
12/18/2015,4.68
12/21/2015,4.73
12/22/2015,4.62
12/23/2015,4.53
12/24/2015,4.53
12/25/2015,.
12/28/2015,4.55
12/29/2015,4.44
12/30/2015,4.44
12/31/2015,4.24
1/1/2016,.
1/4/2016,4.35
1/5/2016,4.29
1/6/2016,4.36
1/7/2016,4.47
1/8/2016,4.48
1/11/2016,4.53
1/12/2016,4.59
1/13/2016,4.69
1/14/2016,4.77
1/15/2016,5.05
1/18/2016,5.05
1/19/2016,5.02
1/20/2016,5.34
1/21/2016,5.2
1/22/2016,4.97
1/25/2016,4.95
1/26/2016,4.94
1/27/2016,4.91
1/28/2016,4.86
1/29/2016,4.85
1/31/2016,4.88
2/1/2016,4.9
2/2/2016,5.1
2/3/2016,5.12
2/4/2016,5.09
2/5/2016,5.13
2/8/2016,5.5
2/9/2016,5.59
2/10/2016,5.53
2/11/2016,5.82
2/12/2016,5.59
2/15/2016,5.58
2/16/2016,5.43
2/17/2016,5.19
2/18/2016,5.14
2/19/2016,5.19
2/22/2016,5.04
2/23/2016,5.04
2/24/2016,5.09
2/25/2016,5.02
2/26/2016,4.8
2/29/2016,4.74
3/1/2016,4.47
3/2/2016,4.34
3/3/2016,4.34
3/4/2016,4.18
3/7/2016,4.13
3/8/2016,4.25
3/9/2016,4.28
3/10/2016,4.2
3/11/2016,4
3/14/2016,3.96
3/15/2016,4.02
3/16/2016,4.11
3/17/2016,4
3/18/2016,3.92
3/21/2016,3.88
3/22/2016,3.92
3/23/2016,4.02
3/24/2016,4.13
3/25/2016,.
3/28/2016,4.18
3/29/2016,4.31
3/30/2016,4.22
3/31/2016,4.28
4/1/2016,4.28
4/4/2016,4.27
4/5/2016,4.37
4/6/2016,4.29
4/7/2016,4.37
4/8/2016,4.3
4/11/2016,4.26
4/12/2016,4.15
4/13/2016,4.05
4/14/2016,3.99
4/15/2016,4.01
4/18/2016,4
4/19/2016,3.87
4/20/2016,3.74
4/21/2016,3.74
4/22/2016,3.73
4/25/2016,3.75
4/26/2016,3.7
4/27/2016,3.72
4/28/2016,3.68
4/29/2016,3.74
4/30/2016,3.81
5/2/2016,3.76
5/3/2016,3.9
5/4/2016,3.96
5/5/2016,4.02
5/6/2016,4.06
5/9/2016,4.1
5/10/2016,4.03
5/11/2016,3.99
5/12/2016,3.94
5/13/2016,4
5/16/2016,3.91
5/17/2016,3.87
5/18/2016,3.78
5/19/2016,3.92
5/20/2016,3.84
5/23/2016,3.84
5/24/2016,3.77
5/25/2016,3.71
5/26/2016,3.75
5/27/2016,3.74
5/30/2016,3.74
5/31/2016,3.71
6/1/2016,3.75
6/2/2016,3.76
6/3/2016,3.84
6/6/2016,3.75
6/7/2016,3.69
6/8/2016,3.63
6/9/2016,3.67
6/10/2016,3.79
6/13/2016,3.86
6/14/2016,3.99
6/15/2016,3.97
6/16/2016,4.08
6/17/2016,3.97
6/20/2016,3.8
6/21/2016,3.8
6/22/2016,3.77
6/23/2016,3.65
6/24/2016,4.08
6/27/2016,4.29
6/28/2016,4.2
6/29/2016,4.02
6/30/2016,4
7/1/2016,3.92
7/4/2016,3.92
7/5/2016,3.97
7/6/2016,3.94
7/7/2016,3.83
7/8/2016,3.71
7/11/2016,3.53
7/12/2016,3.38
7/13/2016,3.49
7/14/2016,3.37
7/15/2016,3.34
7/18/2016,3.35
7/19/2016,3.37
7/20/2016,3.31
7/21/2016,3.33
7/22/2016,3.32
7/25/2016,3.32
7/26/2016,3.37
7/27/2016,3.41
7/28/2016,3.45
7/29/2016,3.53
7/31/2016,3.6
8/1/2016,3.61
8/2/2016,3.63
8/3/2016,3.62
8/4/2016,3.57
8/5/2016,3.41
8/8/2016,3.38
8/9/2016,3.35
8/10/2016,3.38
8/11/2016,3.3
8/12/2016,3.34
8/15/2016,3.25
8/16/2016,3.2
8/17/2016,3.23
8/18/2016,3.24
8/19/2016,3.19
8/22/2016,3.23
8/23/2016,3.19
8/24/2016,3.19
8/25/2016,3.2
8/26/2016,3.1
8/29/2016,3.16
8/30/2016,3.14
8/31/2016,3.2
9/1/2016,3.22
9/2/2016,3.2
9/5/2016,3.2
9/6/2016,3.22
9/7/2016,3.19
9/8/2016,3.14
9/9/2016,3.23
9/12/2016,3.3
9/13/2016,3.32
9/14/2016,3.35
9/15/2016,3.36
9/16/2016,3.36
9/19/2016,3.35
9/20/2016,3.34
9/21/2016,3.32
9/22/2016,3.22
9/23/2016,3.24
9/26/2016,3.29
9/27/2016,3.31
9/28/2016,3.29
9/29/2016,3.26
9/30/2016,3.23
10/3/2016,3.19
10/4/2016,3.13
10/5/2016,3.08
10/6/2016,3.05
10/7/2016,3.06
10/10/2016,3.06
10/11/2016,3.06
10/12/2016,3.06
10/13/2016,3.12
10/14/2016,3.04
10/17/2016,3.08
10/18/2016,3.04
10/19/2016,3
10/20/2016,2.97
10/21/2016,2.98
10/24/2016,2.96
10/25/2016,2.96
10/26/2016,2.99
10/27/2016,2.99
10/28/2016,3.05
10/31/2016,3.18
11/1/2016,3.3
11/2/2016,3.39
11/3/2016,3.38
11/4/2016,3.42
11/7/2016,3.25
11/8/2016,3.2
11/9/2016,3.17
11/10/2016,3.22
11/11/2016,3.22
11/14/2016,3.36
11/15/2016,3.23
11/16/2016,3.23
11/17/2016,3.15
11/18/2016,3.14
11/21/2016,3.09
11/22/2016,3.02
11/23/2016,2.98
11/24/2016,2.98
11/25/2016,2.97
11/28/2016,2.99
11/29/2016,3.02
11/30/2016,2.98
12/1/2016,2.94
12/2/2016,2.97
12/5/2016,2.92
12/6/2016,2.88
12/7/2016,2.82
12/8/2016,2.77
12/9/2016,2.68
12/12/2016,2.66
12/13/2016,2.62
12/14/2016,2.56
12/15/2016,2.64
12/16/2016,2.64
12/19/2016,2.66
12/20/2016,2.64
12/21/2016,2.64
12/22/2016,2.62
12/23/2016,2.6
12/26/2016,.
12/27/2016,2.56
12/28/2016,2.6
12/29/2016,2.63
12/30/2016,2.67
12/31/2016,2.71
1/2/2017,.
1/3/2017,2.63
1/4/2017,2.55
1/5/2017,2.59
1/6/2017,2.54
1/9/2017,2.57
1/10/2017,2.54
1/11/2017,2.58
1/12/2017,2.59
1/13/2017,2.58
1/16/2017,2.57
1/17/2017,2.62
1/18/2017,2.59
1/19/2017,2.56
1/20/2017,2.6
1/23/2017,2.67
1/24/2017,2.59
