DATE,DGS10
20070102,4.68
20070103,4.67
20070104,4.62
20070105,4.65
20070108,4.66
20070109,4.66
20070110,4.69
20070111,4.74
20070112,4.77
20070115,.
20070116,4.75
20070117,4.79
20070118,4.75
20070119,4.78
20070122,4.76
20070123,4.81
20070124,4.81
20070125,4.87
20070126,4.88
20070129,4.9
20070130,4.88
20070131,4.83
20070201,4.84
20070202,4.83
20070205,4.81
20070206,4.77
20070207,4.74
20070208,4.73
20070209,4.79
20070212,4.8
20070213,4.82
20070214,4.74
20070215,4.7
20070216,4.69
20070219,.
20070220,4.68
20070221,4.69
20070222,4.73
20070223,4.68
20070226,4.63
20070227,4.5
20070228,4.56
20070301,4.56
20070302,4.52
20070305,4.51
20070306,4.53
20070307,4.5
20070308,4.51
20070309,4.59
20070312,4.56
20070313,4.5
20070314,4.53
20070315,4.54
20070316,4.55
20070319,4.58
20070320,4.56
20070321,4.53
20070322,4.6
20070323,4.62
20070326,4.6
20070327,4.62
20070328,4.62
20070329,4.64
20070330,4.65
20070402,4.65
20070403,4.67
20070404,4.66
20070405,4.68
20070406,4.76
20070409,4.75
20070410,4.73
20070411,4.74
20070412,4.74
20070413,4.76
20070416,4.74
20070417,4.69
20070418,4.66
20070419,4.68
20070420,4.68
20070423,4.66
20070424,4.63
20070425,4.66
20070426,4.69
20070427,4.71
20070430,4.63
20070501,4.64
20070502,4.65
20070503,4.68
20070504,4.65
20070507,4.64
20070508,4.63
20070509,4.67
20070510,4.65
20070511,4.67
20070514,4.69
20070515,4.71
20070516,4.71
20070517,4.76
20070518,4.81
20070521,4.79
20070522,4.83
20070523,4.86
20070524,4.86
20070525,4.86
20070528,.
20070529,4.88
20070530,4.88
20070531,4.9
20070601,4.95
20070604,4.93
20070605,4.98
20070606,4.97
20070607,5.11
20070608,5.12
20070611,5.14
20070612,5.26
20070613,5.2
20070614,5.23
20070615,5.16
20070618,5.15
20070619,5.09
20070620,5.14
20070621,5.16
20070622,5.14
20070625,5.09
20070626,5.1
20070627,5.09
20070628,5.12
20070629,5.03
20070702,5
20070703,5.05
20070704,.
20070705,5.16
20070706,5.19
20070709,5.16
20070710,5.03
20070711,5.09
20070712,5.13
20070713,5.11
20070716,5.05
20070717,5.08
20070718,5.02
20070719,5.04
20070720,4.96
20070723,4.97
20070724,4.94
20070725,4.92
20070726,4.79
20070727,4.8
20070730,4.82
20070731,4.78
20070801,4.76
20070802,4.77
20070803,4.71
20070806,4.72
20070807,4.77
20070808,4.84
20070809,4.79
20070810,4.81
20070813,4.78
20070814,4.73
20070815,4.69
20070816,4.6
20070817,4.68
20070820,4.64
20070821,4.6
20070822,4.63
20070823,4.62
20070824,4.63
20070827,4.6
20070828,4.53
20070829,4.57
20070830,4.51
20070831,4.54
20070903,.
20070904,4.56
20070905,4.48
20070906,4.51
20070907,4.38
20070910,4.34
20070911,4.37
20070912,4.41
20070913,4.49
20070914,4.47
20070917,4.48
20070918,4.5
20070919,4.53
