Date,Percent
5/2/2014,0.42
5/5/2014,0.43
5/6/2014,0.43
5/7/2014,0.41
5/8/2014,0.4
5/9/2014,0.4
5/12/2014,0.41
5/13/2014,0.39
5/14/2014,0.39
5/15/2014,0.38
5/16/2014,0.38
5/19/2014,0.36
5/20/2014,0.35
5/21/2014,0.37
5/22/2014,0.37
5/23/2014,0.37
5/26/2014,.
5/27/2014,0.39
5/28/2014,0.37
5/29/2014,0.37
5/30/2014,0.37
6/2/2014,0.39
6/3/2014,0.41
6/4/2014,0.41
6/5/2014,0.4
6/6/2014,0.41
6/9/2014,0.43
6/10/2014,0.45
6/11/2014,0.44
6/12/2014,0.42
6/13/2014,0.45
6/16/2014,0.49
6/17/2014,0.51
6/18/2014,0.48
6/19/2014,0.48
6/20/2014,0.5
6/23/2014,0.48
6/24/2014,0.49
6/25/2014,0.48
6/26/2014,0.46
6/27/2014,0.45
6/30/2014,0.47
7/1/2014,0.47
7/2/2014,0.49
7/3/2014,0.52
7/4/2014,.
7/7/2014,0.52
7/8/2014,0.51
7/9/2014,0.51
7/10/2014,0.46
7/11/2014,0.48
7/14/2014,0.48
7/15/2014,0.49
7/16/2014,0.5
7/17/2014,0.47
7/18/2014,0.51
7/21/2014,0.51
7/22/2014,0.49
7/23/2014,0.5
7/24/2014,0.53
7/25/2014,0.53
7/28/2014,0.54
7/29/2014,0.54
7/30/2014,0.56
7/31/2014,0.53
8/1/2014,0.47
8/4/2014,0.47
8/5/2014,0.47
8/6/2014,0.48
8/7/2014,0.44
8/8/2014,0.45
8/11/2014,0.47
8/12/2014,0.45
8/13/2014,0.43
8/14/2014,0.42
8/15/2014,0.42
8/18/2014,0.44
8/19/2014,0.46
8/20/2014,0.49
8/21/2014,0.49
8/22/2014,0.53
8/25/2014,0.53
8/26/2014,0.52
8/27/2014,0.51
8/28/2014,0.5
8/29/2014,0.48
9/1/2014,.
9/2/2014,0.53
9/3/2014,0.52
9/4/2014,0.54
9/5/2014,0.52
9/8/2014,0.54
9/9/2014,0.56
9/10/2014,0.58
9/11/2014,0.58
9/12/2014,0.58
9/15/2014,0.58
9/16/2014,0.55
9/17/2014,0.59
9/18/2014,0.59
9/19/2014,0.59
9/22/2014,0.58
9/23/2014,0.57
9/24/2014,0.59
9/25/2014,0.56
9/26/2014,0.59
9/29/2014,0.58
9/30/2014,0.58
10/1/2014,0.53
10/2/2014,0.53
10/3/2014,0.57
10/6/2014,0.54
10/7/2014,0.52
10/8/2014,0.46
10/9/2014,0.46
10/10/2014,0.45
