Date,Percent
20140502,0.02
20140505,0.03
20140506,0.03
20140507,0.03
20140508,0.03
20140509,0.03
20140512,0.03
20140513,0.03
20140514,0.03
20140515,0.03
20140516,0.03
20140519,0.03
20140520,0.03
20140521,0.04
20140522,0.03
20140523,0.04
20140526,.
20140527,0.04
20140528,0.04
20140529,0.04
20140530,0.04
20140602,0.04
20140603,0.04
20140604,0.04
20140605,0.04
20140606,0.04
20140609,0.04
20140610,0.04
20140611,0.04
20140612,0.04
20140613,0.04
20140616,0.04
20140617,0.04
20140618,0.03
20140619,0.02
20140620,0.02
20140623,0.03
20140624,0.03
20140625,0.03
20140626,0.04
20140627,0.03
20140630,0.04
20140701,0.02
20140702,0.02
20140703,0.01
20140704,.
20140707,0.04
20140708,0.03
20140709,0.03
20140710,0.02
20140711,0.02
20140714,0.03
20140715,0.02
20140716,0.02
20140717,0.02
20140718,0.02
20140721,0.03
20140722,0.03
20140723,0.03
20140724,0.03
20140725,0.03
20140728,0.04
20140729,0.02
20140730,0.04
20140731,0.03
20140801,0.03
20140804,0.04
20140805,0.03
20140806,0.03
20140807,0.03
20140808,0.03
20140811,0.04
20140812,0.03
20140813,0.04
20140814,0.04
20140815,0.03
20140818,0.03
20140819,0.03
20140820,0.04
20140821,0.02
20140822,0.03
20140825,0.04
20140826,0.03
20140827,0.04
20140828,0.03
20140829,0.03
20140901,.
20140902,0.03
20140903,0.03
20140904,0.03
20140905,0.03
20140908,0.02
20140909,0.02
20140910,0.02
20140911,0.02
20140912,0.02
20140915,0.02
20140916,0.02
20140917,0.02
20140918,0.02
20140919,0.02
20140922,0.01
20140923,0.01
20140924,0.02
20140925,0.01
20140926,0.01
20140929,0.02
20140930,0.02
20141001,0.02
20141002,0.01
20141003,0.01
20141006,0.02
20141007,0.02
20141008,0.01
20141009,0.01
20141010,0.01
20141013,.
20141014,0.02
20141015,0.02
20141016,0.03
20141017,0.02
20141020,0.02
20141021,0.02
20141022,0.02
20141023,0.01
20141024,0.01
20141027,0.02
20141028,0.02
20141029,0.03
20141030,0.01
20141031,0.01
20141103,0.02
20141104,0.03
20141105,0.03
20141106,0.03
20141107,0.03
20141110,0.02
20141111,.
20141112,0.02
20141113,0.02
20141114,0.02
20141117,0.03
20141118,0.02
20141119,0.01
20141120,0.02
20141121,0.01
20141124,0.02
20141125,0.02
20141126,0.02
20141127,.
20141128,0.02
20141201,0.03
20141202,0.03
20141203,0.01
20141204,0.02
20141205,0.02
20141208,0.03
20141209,0.04
20141210,0.03
20141211,0.03
20141212,0.02
20141215,0.04
20141216,0.03
20141217,0.03
20141218,0.04
20141219,0.04
20141222,0.05
20141223,0.03
20141224,0.01
20141225,.
20141226,0.01
20141229,0.03
20141230,0.03
20141231,0.04
20150101,.
20150102,0.02
20150105,0.03
20150106,0.03
20150107,0.03
20150108,0.03
20150109,0.02
20150112,0.03
20150113,0.03
20150114,0.04
20150115,0.03
20150116,0.03
20150119,.
20150120,0.03
20150121,0.03
20150122,0.03
20150123,0.02
20150126,0.03
20150127,0.02
20150128,0.02
20150129,0.03
20150130,0.02
20150202,0.02
20150203,0.02
20150204,0.01
20150205,0.02
20150206,0.02
20150209,0.01
20150210,0.01
20150211,0.01
20150212,0.02
20150213,0.01
20150216,.
20150217,0.02
20150218,0.02
20150219,0.02
20150220,0.02
20150223,0.02
20150224,0.02
20150225,0.02
20150226,0.03
20150227,0.02
20150302,0.02
20150303,0.02
20150304,0.01
20150305,0.02
20150306,0.01
20150309,0.02
20150310,0.02
20150311,0.03
20150312,0.03
20150313,0.03
20150316,0.05
20150317,0.05
20150318,0.03
20150319,0.03
20150320,0.01
20150323,0.03
20150324,0.02
20150325,0.04
20150326,0.03
20150327,0.04
20150330,0.04
20150331,0.03
20150401,0.03
20150402,0.02
20150403,0.02
20150406,0.03
20150407,0.02
20150408,0.03
20150409,0.03
20150410,0.02
20150413,0.03
20150414,0.02
20150415,0.02
20150416,0.02
20150417,0.01
20150420,0.03
20150421,0.03
20150422,0.03
20150423,0.03
20150424,0.03
20150427,0.02
20150428,0.02
20150429,0.01
20150430,0.01
20150501,0.01
20150504,0.02
20150505,0.01
20150506,0.02
20150507,0.01
20150508,0.01
20150511,0.02
20150512,0.03
20150513,0.02
20150514,0.01
20150515,0.02
20150518,0.02
20150519,0.02
20150520,0.02
20150521,0.02
20150522,0.02
20150525,.
20150526,0.02
20150527,0.01
20150528,0.01
20150529,0.01
20150601,0.02
20150602,0.01
20150603,0.02
20150604,0.02
20150605,0.03
20150608,0.02
