Date,Percent
19540701,0.8
19540801,1.22
19540901,1.06
19541001,0.85
19541101,0.83
19541201,1.28
19550101,1.39
19550201,1.29
19550301,1.35
19550401,1.43
19550501,1.43
19550601,1.64
19550701,1.68
19550801,1.96
19550901,2.18
19551001,2.24
19551101,2.35
19551201,2.48
19560101,2.45
19560201,2.5
19560301,2.5
19560401,2.62
19560501,2.75
19560601,2.71
19560701,2.75
19560801,2.73
19560901,2.95
19561001,2.96
19561101,2.88
19561201,2.94
19570101,2.84
19570201,3
19570301,2.96
19570401,3
19570501,3
19570601,3
19570701,2.99
19570801,3.24
19570901,3.47
19571001,3.5
19571101,3.28
19571201,2.98
19580101,2.72
19580201,1.67
19580301,1.2
19580401,1.26
19580501,0.63
19580601,0.93
19580701,0.68
19580801,1.53
19580901,1.76
19581001,1.8
19581101,2.27
19581201,2.42
19590101,2.48
19590201,2.43
19590301,2.8
19590401,2.96
19590501,2.9
19590601,3.39
19590701,3.47
19590801,3.5
19590901,3.76
19591001,3.98
19591101,4
19591201,3.99
19600101,3.99
19600201,3.97
19600301,3.84
19600401,3.92
19600501,3.85
19600601,3.32
19600701,3.23
19600801,2.98
19600901,2.6
19601001,2.47
19601101,2.44
19601201,1.98
19610101,1.45
19610201,2.54
19610301,2.02
19610401,1.49
19610501,1.98
19610601,1.73
19610701,1.17
19610801,2
19610901,1.88
19611001,2.26
19611101,2.61
19611201,2.33
19620101,2.15
19620201,2.37
19620301,2.85
19620401,2.78
19620501,2.36
19620601,2.68
19620701,2.71
19620801,2.93
19620901,2.9
19621001,2.9
19621101,2.94
19621201,2.93
19630101,2.92
19630201,3
19630301,2.98
19630401,2.9
19630501,3
19630601,2.99
19630701,3.02
19630801,3.49
19630901,3.48
19631001,3.5
19631101,3.48
19631201,3.38
19640101,3.48
19640201,3.48
19640301,3.43
19640401,3.47
19640501,3.5
19640601,3.5
19640701,3.42
19640801,3.5
19640901,3.45
19641001,3.36
19641101,3.52
19641201,3.85
19650101,3.9
19650201,3.98
19650301,4.04
19650401,4.09
19650501,4.1
19650601,4.04
19650701,4.09
19650801,4.12
19650901,4.01
19651001,4.08
19651101,4.1
19651201,4.32
19660101,4.42
19660201,4.6
19660301,4.65
19660401,4.67
19660501,4.9
19660601,5.17
19660701,5.3
19660801,5.53
19660901,5.4
19661001,5.53
19661101,5.76
19661201,5.4
19670101,4.94
19670201,5
19670301,4.53
19670401,4.05
19670501,3.94
19670601,3.98
19670701,3.79
19670801,3.9
19670901,3.99
19671001,3.88
19671101,4.13
19671201,4.51
19680101,4.6
19680201,4.71
19680301,5.05
19680401,5.76
19680501,6.11
19680601,6.07
19680701,6.02
19680801,6.03
19680901,5.78
19681001,5.91
19681101,5.82
19681201,6.02
19690101,6.3
19690201,6.61
19690301,6.79
19690401,7.41
19690501,8.67
19690601,8.9
19690701,8.61
19690801,9.19
19690901,9.15
19691001,9
19691101,8.85
19691201,8.97
19700101,8.98
19700201,8.98
19700301,7.76
19700401,8.1
19700501,7.94
19700601,7.6
19700701,7.21
19700801,6.61
19700901,6.29
19701001,6.2
19701101,5.6
19701201,4.9
19710101,4.14
19710201,3.72
19710301,3.71
19710401,4.15
19710501,4.63
19710601,4.91
19710701,5.31
19710801,5.56
19710901,5.55
19711001,5.2
19711101,4.91
19711201,4.14
19720101,3.5
19720201,3.29
19720301,3.83
19720401,4.17
19720501,4.27
19720601,4.46
19720701,4.55
19720801,4.8
19720901,4.87
19721001,5.04
19721101,5.06
19721201,5.33
19730101,5.94
19730201,6.58
19730301,7.09
19730401,7.12
19730501,7.84
19730601,8.49
19730701,10.4
19730801,10.5
19730901,10.78
19731001,10.01
19731101,10.03
19731201,9.95
19740101,9.65
19740201,8.97
19740301,9.35
19740401,10.51
19740501,11.31
19740601,11.93
19740701,12.92
19740801,12.01
19740901,11.34
19741001,10.06
19741101,9.45
19741201,8.53
19750101,7.13
19750201,6.24
19750301,5.54
19750401,5.49
19750501,5.22
19750601,5.55
19750701,6.1
19750801,6.14
19750901,6.24
19751001,5.82
19751101,5.22
19751201,5.2
19760101,4.87
19760201,4.77
19760301,4.84
19760401,4.82
19760501,5.29
19760601,5.48
19760701,5.31
19760801,5.29
19760901,5.25
19761001,5.02
19761101,4.95
19761201,4.65
19770101,4.61
19770201,4.68
19770301,4.69
19770401,4.73
19770501,5.35
19770601,5.39
19770701,5.42
19770801,5.9
19770901,6.14
19771001,6.47
19771101,6.51
19771201,6.56
19780101,6.7
19780201,6.78
19780301,6.79
19780401,6.89
19780501,7.36
19780601,7.6
19780701,7.81
19780801,8.04
19780901,8.45
19781001,8.96
19781101,9.76
19781201,10.03
19790101,10.07
19790201,10.06
19790301,10.09
19790401,10.01
19790501,10.24
19790601,10.29
19790701,10.47
19790801,10.94
19790901,11.43
19791001,13.77
19791101,13.18
19791201,13.78
19800101,13.82
19800201,14.13
19800301,17.19
19800401,17.61
19800501,10.98
19800601,9.47
19800701,9.03
19800801,9.61
19800901,10.87
19801001,12.81
19801101,15.85
19801201,18.9
19810101,19.08
19810201,15.93
19810301,14.7
19810401,15.72
19810501,18.52
19810601,19.1
19810701,19.04
19810801,17.82
19810901,15.87
19811001,15.08
19811101,13.31
19811201,12.37
19820101,13.22
19820201,14.78
19820301,14.68
19820401,14.94
19820501,14.45
19820601,14.15
19820701,12.59
19820801,10.12
19820901,10.31
19821001,9.71
19821101,9.2
19821201,8.95
19830101,8.68
19830201,8.51
19830301,8.77
19830401,8.8
19830501,8.63
19830601,8.98
19830701,9.37
19830801,9.56
19830901,9.45
19831001,9.48
19831101,9.34
19831201,9.47
19840101,9.56
19840201,9.59
19840301,9.91
19840401,10.29
19840501,10.32
19840601,11.06
19840701,11.23
19840801,11.64
19840901,11.3
19841001,9.99
19841101,9.43
19841201,8.38
19850101,8.35
19850201,8.5
19850301,8.58
19850401,8.27
19850501,7.97
19850601,7.53
19850701,7.88
19850801,7.9
19850901,7.92
19851001,7.99
19851101,8.05
19851201,8.27
19860101,8.14
19860201,7.86
19860301,7.48
19860401,6.99
19860501,6.85
19860601,6.92
19860701,6.56
19860801,6.17
19860901,5.89
19861001,5.85
19861101,6.04
19861201,6.91
19870101,6.43
19870201,6.1
19870301,6.13
19870401,6.37
19870501,6.85
19870601,6.73
19870701,6.58
19870801,6.73
19870901,7.22
19871001,7.29
19871101,6.69
19871201,6.77
19880101,6.83
19880201,6.58
19880301,6.58
19880401,6.87
19880501,7.09
19880601,7.51
19880701,7.75
19880801,8.01
19880901,8.19
19881001,8.3
19881101,8.35
19881201,8.76
19890101,9.12
19890201,9.36
19890301,9.85
19890401,9.84
19890501,9.81
19890601,9.53
19890701,9.24
19890801,8.99
19890901,9.02
19891001,8.84
19891101,8.55
19891201,8.45
