Date,Percent
20140505,5454.65
20140506,5405.94
20140507,5436.18
20140508,5426.94
20140509,5436.25
20140512,5491.5
20140513,5492.92
20140514,5467.18
20140515,5418.19
20140516,5438.15
20140519,5461.01
20140520,5423.64
20140521,5467.43
20140522,5482.64
20140523,5507.13
20140526,.
20140527,5540.12
20140528,5534.33
20140529,5564.39
20140530,5572.1
20140602,5578.8
20140603,5577.06
20140604,5589.99
20140605,5627.76
20140606,5654.65
20140609,5660.23
20140610,5657.62
20140611,5639.04
20140612,5601.11
20140613,5619.02
20140616,5623.53
20140617,5638.52
20140618,5680.51
20140619,5688.74
20140620,5699.16
20140623,5698.61
20140624,5661.05
20140625,5689.43
20140626,5683.89
20140627,5696.98
20140630,5698.84
20140701,5738.45
20140702,5738.46
20140703,5768.93
20140704,.
20140707,5741.63
20140708,5699.6
20140709,5726.19
20140710,5702.77
20140711,5710.32
20140714,5737.69
20140715,5724.39
20140716,5746.43
20140717,5679.72
20140718,5739.71
20140721,5726.58
20140722,5755.77
20140723,5766.34
20140724,5769.63
20140725,5741.43
20140728,5741.05
20140729,5716.24
20140730,5719.9
20140731,5606.68
20140801,5591.52
20140804,5630.98
20140805,5579.73
20140806,5579.72
20140807,5551.43
20140808,5613.96
20140811,5632.67
20140812,5622.12
20140813,5662.75
20140814,5688.23
20140815,5689.3
20140818,5739.84
20140819,5768.64
20140820,5783.4
20140821,5798.89
20140822,5790.21
20140825,5817.39
20140826,5824.98
20140827,5826.04
20140828,5816.95
20140829,5838.35
20140901,.
20140902,5838.87
20140903,5833.73
20140904,5823.36
20140905,5852.5
20140908,5837.91
20140909,5798.65
20140910,5819.87
20140911,5827.85
20140912,5791.31
20140915,5781.08
20140916,5824.33
20140917,5831.98
20140918,5859.1
20140919,5853.52
20140922,5800.89
20140923,5766.84
20140924,5811.1
20140925,5718.78
20140926,5768.5
20140929,5754.91
20140930,5736
20141001,5659.3
20141002,5660.91
20141003,5723.92
20141006,5714.06
20141007,5626.83
20141008,5723.04
20141009,5603.78
20141010,5533.74
20141013,5441.05
20141014,5453.69
20141015,5415.95
20141016,5424
20141017,5492.3
20141020,5543.64
20141021,5655.92
20141022,5612.12
20141023,5682.07
20141024,5721.17
20141027,5711.72
20141028,5782.13
