DATE,RU3000TR
20070103,3399.4
20070104,3405.66
20070105,3381.19
20070108,3389.61
20070109,3390.13
20070110,3398.98
20070111,3424.3
20070112,3442.28
20070115,.
20070116,3443.83
20070117,3440.12
20070118,3425.22
20070119,3437.6
20070122,3418.55
20070123,3432.52
20070124,3463.31
20070125,3424.7
20070126,3423.46
20070129,3423.81
20070130,3442.99
20070131,3465.73
20070201,3486.82
20070202,3493.21
20070205,3490.02
20070206,3495.07
20070207,3504.61
20070208,3501.1
20070209,3474.36
20070212,3462.2
20070213,3489.82
20070214,3515.51
20070215,3520.66
20070216,3519.96
20070219,.
20070220,3534.22
20070221,3531.11
20070222,3529.16
20070223,3517.78
20070226,3511.71
20070227,3391.02
20070228,3408.87
20070301,3399.94
20070302,3357.39
20070305,3319.48
20070306,3374.08
20070307,3366.42
20070308,3390.64
20070309,3395.08
20070312,3405.48
20070313,3336.05
20070314,3357.33
20070315,3373.42
20070316,3359.3
20070319,3395.81
20070320,3418.74
20070321,3476.19
20070322,3475.66
20070323,3479.63
20070326,3481.53
20070327,3459.91
20070328,3434.94
20070329,3446
20070330,3444.36
20070402,3453.66
20070403,3486.64
20070404,3490.17
20070405,3501.93
20070406,.
20070409,3503.95
20070410,3512.77
20070411,3489.96
20070412,3511.37
20070413,3524.33
20070416,3562.4
20070417,3567.99
20070418,3568.7
20070419,3561.66
20070420,3594.28
20070423,3587.55
20070424,3585.18
20070425,3618.85
20070426,3618.31
20070427,3615
20070430,3581.95
20070501,3591.06
20070502,3619.41
20070503,3634.1
20070504,3643.25
20070507,3650.6
20070508,3647.19
20070509,3661.48
20070510,3609.34
20070511,3645.1
20070514,3635.66
20070515,3626.28
20070516,3656.82
20070517,3652.41
20070518,3676.77
20070521,3688.43
20070522,3690.99
20070523,3684.59
20070524,3645.41
20070525,3665.96
20070528,.
20070529,3677.2
20070530,3708.29
20070531,3712.47
20070601,3728.1
20070604,3735.32
20070605,3714.33
20070606,3680.42
20070607,3614.4
20070608,3655.25
20070611,3657.22
20070612,3617.91
20070613,3670.23
20070614,3688.7
20070615,3714.93
20070618,3709.2
20070619,3715.59
20070620,3666.13
20070621,3688.19
20070622,3641.56
20070625,3625.91
20070626,3613.53
20070627,3649.49
20070628,3649.38
20070629,3642.95
20070702,3683.88
20070703,3697.63
20070704,.
20070705,3701.18
20070706,3715.9
20070709,3719.48
20070710,3665.87
20070711,3686.09
20070712,3753.47
20070713,3765.24
20070716,3754.63
20070717,3754.59
20070718,3746.5
20070719,3764.55
20070720,3718.1
20070723,3731.9
20070724,3654.59
20070725,3667.21
20070726,3581.14
20070727,3525.75
20070730,3561.4
20070731,3518.72
20070801,3539.26
20070802,3558.47
20070803,3461.82
20070806,3535.47
20070807,3559.52
20070808,3613.91
20070809,3514.86
20070810,3516.63
20070813,3514.12
20070814,3449.17
20070815,3398.09
20070816,3409.99
20070817,3492.62
20070820,3495.01
20070821,3500.93
20070822,3544.39
20070823,3536.84
20070824,3579.13
20070827,3547.7
20070828,3463.71
20070829,3541.11
20070830,3527.48
20070831,3569.23
20070903,.
20070904,3607.86
20070905,3569.03
20070906,3583.92
20070907,3522.77
20070910,3514.2
20070911,3562.31
20070912,3561.86
20070913,3588.75
20070914,3592.32
20070917,3571.55
20070918,3677.84
20070919,3702.07
20070920,3677.99
20070921,3694.42
20070924,3674.46
20070925,3672.52
20070926,3694.51
20070927,3712.12
20070928,3699.35
20071001,3751.48
20071002,3754.92
20071003,3737.87
20071004,3745.87
20071005,3787.21
20071008,3774.49
20071009,3804.96
20071010,3800.69
20071011,3778.23
20071012,3797.55
20071015,3764.21
20071016,3738.59
20071017,3745.46
20071018,3743.77
20071019,3647.16
20071022,3664.78
20071023,3697.64
20071024,3686.69
20071025,3680.15
20071026,3730.86
20071029,3745.28
20071030,3720.95
20071031,3767.21
20071101,3667.27
20071102,3670.23
20071105,3648.48
20071106,3693.04
20071107,3588.53
20071108,3589.7
20071109,3539.16
20071112,3500.16
20071113,3600.36
20071114,3576.39
20071115,3531
20071116,3546.08
20071119,3481.51
20071120,3493.25
20071121,3441.06
20071122,.
20071123,3498.33
20071126,3420.41
20071127,3468.17
20071128,3570.34
20071129,3571.31
20071130,3597.62
20071203,3576.41
20071204,3552.66
20071205,3606.88
20071206,3666.02
20071207,3662.64
20071210,3690.62
20071211,3594.6
20071212,3614.62
20071213,3617.71
20071214,3566.67
20071217,3510.95
20071218,3535.44
20071219,3533.47
20071220,3556.43
20071221,3617.35
20071224,3647.59
20071225,.
20071226,3650.8
20071227,3595.64
20071228,3599.22
20071231,3575.85
20080101,.
20080102,3525.74
20080103,3520.24
20080104,3430.02
20080107,3437.45
20080108,3372.5
20080109,3413.81
20080110,3442.76
20080111,3394.22
20080114,3430.32
20080115,3346.26
20080116,3329.97
20080117,3233.24
20080118,3213.76
20080121,.
20080122,3182.06
20080123,3253.13
20080124,3285.58
20080125,3238.63
20080128,3297.95
20080129,3318.83
20080130,3299.18
20080131,3359.11
20080201,3407.43
20080204,3373.08
20080205,3267.58
20080206,3240.49
20080207,3268.22
20080208,3256.65
20080211,3275.47
20080212,3297.36
20080213,3345.58
20080214,3298.61
20080215,3299.15
20080218,.
20080219,3297.67
20080220,3326.45
20080221,3283.18
20080222,3306.49
20080225,3356.27
20080226,3380.57
20080227,3376.18
20080228,3344.68
20080229,3254.78
20080303,3255.7
20080304,3243.11
20080305,3262.12
20080306,3186.88
20080307,3160.09
20080310,3105.91
20080311,3221.8
20080312,3195.07
20080313,3216.97
20080314,3149.92
20080317,3113.6
20080318,3245.56
20080319,3166.24
20080320,3240.21
20080321,.
20080324,3296.06
20080325,3308.08
20080326,3281.18
20080327,3243.52
20080328,3216.41
20080331,3235.49
20080401,3349.09
20080402,3346.33
20080403,3352.5
20080404,3356.5
20080407,3361.4
20080408,3348
20080409,3316.12
20080410,3335.09
20080411,3266.19
20080414,3255.84
20080415,3271.59
20080416,3349.47
20080417,3347.98
20080418,3407.29
20080421,3401.85
20080422,3368.44
20080423,3378.58
20080424,3401.87
20080425,3425.75
20080428,3424.75
20080429,3409.05
20080430,3397.3
20080501,3454.74
20080502,3463.51
20080505,3450.86
20080506,3477.68
20080507,3418.42
20080508,3432.63
20080509,3414.73
20080512,3453.87
20080513,3457.3
20080514,3470.03
20080515,3507.95
20080516,3512.96
20080519,3513.2
20080520,3484.42
20080521,3429.59
20080522,3440.73
20080523,3397.04
20080526,.
20080527,3421.56
20080528,3438.26
20080529,3457.92
20080530,3466.89
20080602,3432.76
20080603,3415.48
20080604,3417.58
20080605,3487.4
20080606,3383.33
20080609,3382.96
20080610,3372.27
20080611,3315.45
20080612,3325.06
20080613,3376.48
20080616,3382.5
20080617,3362.44
20080618,3330.62
20080619,3344.81
20080620,3284.09
20080623,3280.95
20080624,3264.27
20080625,3285.78
20080626,3192.42
20080627,3181.61
20080630,3180.8
20080701,3191.32
20080702,3126.4
20080703,3121.85
20080704,.
20080707,3094.03
20080708,3152.55
20080709,3083.16
20080710,3105.49
20080711,3077.92
20080714,3049.65
20080715,3018.23
20080716,3095.87
20080717,3131.58
20080718,3130.45
20080721,3135.12
20080722,3178.27
20080723,3188.67
