DATE,BAMLC0A0CM
2014-05-02,1.14
2014-05-05,1.13
2014-05-06,1.13
2014-05-07,1.13
2014-05-08,1.13
2014-05-09,1.13
2014-05-12,1.13
2014-05-13,1.13
2014-05-14,1.13
2014-05-15,1.13
2014-05-16,1.13
2014-05-19,1.13
2014-05-20,1.13
2014-05-21,1.13
2014-05-22,1.13
2014-05-23,1.13
2014-05-26,1.13
2014-05-27,1.12
2014-05-28,1.13
2014-05-29,1.12
2014-05-30,1.11
2014-05-31,1.12
2014-06-02,1.12
2014-06-03,1.12
2014-06-04,1.12
2014-06-05,1.12
2014-06-06,1.10
2014-06-09,1.09
2014-06-10,1.08
2014-06-11,1.09
2014-06-12,1.09
2014-06-13,1.09
2014-06-16,1.09
2014-06-17,1.08
2014-06-18,1.09
2014-06-19,1.08
2014-06-20,1.08
2014-06-23,1.07
2014-06-24,1.06
2014-06-25,1.07
2014-06-26,1.07
2014-06-27,1.08
2014-06-30,1.09
2014-07-01,1.09
2014-07-02,1.08
2014-07-03,1.08
2014-07-04,1.08
2014-07-07,1.07
2014-07-08,1.07
2014-07-09,1.08
2014-07-10,1.09
2014-07-11,1.08
2014-07-14,1.08
2014-07-15,1.08
2014-07-16,1.08
2014-07-17,1.09
2014-07-18,1.09
2014-07-21,1.09
2014-07-22,1.09
2014-07-23,1.09
2014-07-24,1.09
2014-07-25,1.09
2014-07-28,1.08
2014-07-29,1.09
2014-07-30,1.09
2014-07-31,1.10
2014-08-01,1.12
2014-08-04,1.12
2014-08-05,1.12
2014-08-06,1.14
2014-08-07,1.14
2014-08-08,1.14
2014-08-11,1.14
2014-08-12,1.14
2014-08-13,1.14
2014-08-14,1.14
2014-08-15,1.14
2014-08-18,1.13
2014-08-19,1.13
2014-08-20,1.13
2014-08-21,1.12
2014-08-22,1.12
2014-08-25,1.12
2014-08-26,1.11
2014-08-27,1.11
2014-08-28,1.12
2014-08-29,1.12
2014-08-31,1.12
2014-09-01,1.12
2014-09-02,1.12
2014-09-03,1.12
2014-09-04,1.12
2014-09-05,1.12
2014-09-08,1.12
2014-09-09,1.12
2014-09-10,1.13
2014-09-11,1.14
2014-09-12,1.14
2014-09-15,1.14
2014-09-16,1.15
2014-09-17,1.14
2014-09-18,1.14
2014-09-19,1.13
2014-09-22,1.14
2014-09-23,1.14
2014-09-24,1.15
2014-09-25,1.16
2014-09-26,1.17
2014-09-29,1.19
2014-09-30,1.20
2014-10-01,1.21
2014-10-02,1.22
2014-10-03,1.21
2014-10-06,1.20
2014-10-07,1.20
2014-10-08,1.22
2014-10-09,1.22
2014-10-10,1.23
2014-10-13,1.23
2014-10-14,1.24
2014-10-15,1.29
2014-10-16,1.29
2014-10-17,1.28
2014-10-20,1.28
2014-10-21,1.28
2014-10-22,1.27
2014-10-23,1.27
2014-10-24,1.27
2014-10-27,1.27
2014-10-28,1.27
2014-10-29,1.26
2014-10-30,1.27
2014-10-31,1.27
2014-11-03,1.27
2014-11-04,1.28
2014-11-05,1.28
2014-11-06,1.29
2014-11-07,1.30
2014-11-10,1.29
2014-11-11,1.29
2014-11-12,1.30
2014-11-13,1.31
2014-11-14,1.32
2014-11-17,1.33
2014-11-18,1.34
2014-11-19,1.35
2014-11-20,1.35
2014-11-21,1.34
2014-11-24,1.34
2014-11-25,1.34
2014-11-26,1.34
2014-11-27,1.33
2014-11-28,1.34
2014-11-30,1.35
2014-12-01,1.36
2014-12-02,1.36
2014-12-03,1.37
2014-12-04,1.37
2014-12-05,1.37
2014-12-08,1.38
2014-12-09,1.40
2014-12-10,1.42
2014-12-11,1.43
2014-12-12,1.45
2014-12-15,1.47
2014-12-16,1.51
2014-12-17,1.50
2014-12-18,1.47
2014-12-19,1.46
2014-12-22,1.44
2014-12-23,1.43
2014-12-24,1.43
2014-12-25,.
2014-12-26,1.43
2014-12-29,1.43
2014-12-30,1.43
2014-12-31,1.44
2015-01-01,.
2015-01-02,1.45
2015-01-05,1.46
2015-01-06,1.48
2015-01-07,1.49
2015-01-08,1.47
2015-01-09,1.48
2015-01-12,1.49
2015-01-13,1.50
2015-01-14,1.52
2015-01-15,1.53
2015-01-16,.
2015-01-19,1.53
2015-01-20,1.53
2015-01-21,1.52
2015-01-22,1.51
2015-01-23,1.50
2015-01-26,1.49
2015-01-27,1.50
2015-01-28,1.51
2015-01-29,1.51
2015-01-30,1.52
2015-01-31,1.53
2015-02-02,1.53
2015-02-03,1.51
2015-02-04,1.50
2015-02-05,1.49
2015-02-06,1.46
2015-02-09,1.45
2015-02-10,1.45
2015-02-11,1.45
2015-02-12,1.43
2015-02-13,1.43
2015-02-16,1.43
2015-02-17,1.41
2015-02-18,1.40
2015-02-19,1.39
2015-02-20,1.38
2015-02-23,1.38
2015-02-24,1.38
2015-02-25,1.39
2015-02-26,1.37
2015-02-27,1.38
2015-02-28,1.32
2015-03-02,1.31
2015-03-03,1.30
2015-03-04,1.31
2015-03-05,1.31
2015-03-06,1.29
2015-03-09,1.30
2015-03-10,1.32
2015-03-11,1.32
2015-03-12,1.33
2015-03-13,1.34
2015-03-16,1.35
2015-03-17,1.37
2015-03-18,1.38
2015-03-19,1.38
2015-03-20,1.38
2015-03-23,1.38
2015-03-24,1.38
2015-03-25,1.38
2015-03-26,1.38
2015-03-27,1.38
2015-03-30,1.38
2015-03-31,1.36
2015-04-01,1.37
2015-04-02,1.36
2015-04-03,.
2015-04-06,1.36
2015-04-07,1.34
2015-04-08,1.34
2015-04-09,1.33
2015-04-10,1.32
2015-04-13,1.32
2015-04-14,1.32
2015-04-15,1.33
2015-04-16,1.33
2015-04-17,1.33
2015-04-20,1.33
2015-04-21,1.32
2015-04-22,1.31
2015-04-23,1.32
2015-04-24,1.32
2015-04-27,1.32
2015-04-28,1.32
2015-04-29,1.32
2015-04-30,1.34
2015-05-01,1.33
2015-05-04,1.33
2015-05-05,1.33
2015-05-06,1.33
