DATE,RU3000TR
2014-05-05,5401.84
2014-05-06,5350.57
2014-05-07,5378.43
2014-05-08,5365.88
2014-05-09,5378.02
2014-05-12,5438.32
2014-05-13,5435.05
2014-05-14,5404.89
2014-05-15,5357.51
2014-05-16,5378.34
2014-05-19,5403.52
2014-05-20,5363.26
2014-05-21,5405.42
2014-05-22,5423.14
2014-05-23,5450.10
2014-05-26,.
2014-05-27,5486.19
2014-05-28,5478.92
2014-05-29,5507.69
2014-05-30,5512.67
2014-06-02,5516.72
2014-06-03,5514.13
2014-06-04,5527.86
2014-06-05,5570.86
2014-06-06,5599.62
2014-06-09,5608.71
2014-06-10,5605.17
2014-06-11,5586.05
2014-06-12,5548.74
2014-06-13,5566.33
2014-06-16,5572.01
2014-06-17,5589.37
2014-06-18,5630.19
2014-06-19,5638.04
2014-06-20,5649.23
2014-06-23,5647.44
2014-06-24,5608.77
2014-06-25,5638.26
2014-06-26,5632.67
2014-06-27,5647.92
2014-06-30,5650.94
2014-07-01,5692.04
2014-07-02,5689.61
2014-07-03,5720.69
2014-07-04,.
2014-07-07,5687.67
2014-07-08,5643.81
2014-07-09,5668.70
2014-07-10,5642.81
2014-07-11,5649.00
2014-07-14,5676.13
2014-07-15,5659.51
2014-07-16,5678.77
2014-07-17,5611.10
2014-07-18,5672.66
2014-07-21,5658.80
2014-07-22,5689.04
2014-07-23,5699.45
2014-07-24,5701.75
2014-07-25,5671.65
2014-07-28,5669.33
2014-07-29,5647.53
2014-07-30,5652.77
2014-07-31,5539.46
2014-08-01,5523.67
2014-08-04,5563.46
2014-08-05,5515.49
2014-08-06,5517.01
2014-08-07,5489.04
2014-08-08,5550.48
2014-08-11,5571.57
2014-08-12,5558.58
2014-08-13,5599.04
2014-08-14,5622.94
2014-08-15,5623.28
2014-08-18,5675.75
2014-08-19,5703.58
2014-08-20,5715.19
2014-08-21,5730.28
2014-08-22,5722.49
2014-08-25,5749.14
2014-08-26,5759.85
2014-08-27,5759.95
2014-08-28,5749.14
2014-08-29,5771.87
2014-09-01,.
2014-09-02,5774.28
2014-09-03,5766.86
2014-09-04,5755.53
2014-09-05,5783.23
2014-09-08,5770.78
2014-09-09,5729.73
2014-09-10,5751.58
2014-09-11,5761.76
2014-09-12,5723.98
2014-09-15,5709.31
2014-09-16,5750.48
2014-09-17,5758.59
2014-09-18,5785.40
2014-09-19,5775.62
2014-09-22,5720.95
2014-09-23,5685.86
2014-09-24,5729.91
2014-09-25,5638.85
2014-09-26,5687.85
2014-09-29,5674.94
2014-09-30,5651.56
2014-10-01,5575.44
2014-10-02,5581.09
2014-10-03,5641.76
2014-10-06,5628.94
2014-10-07,5542.39
2014-10-08,5638.09
2014-10-09,5518.23
2014-10-10,5448.79
2014-10-13,5362.70
2014-10-14,5378.92
2014-10-15,5348.64
2014-10-16,5361.08
2014-10-17,5422.05
2014-10-20,5473.70
2014-10-21,5582.93
2014-10-22,5536.92
2014-10-23,5608.20
2014-10-24,5644.76
2014-10-27,5635.64
2014-10-28,5712.04
2014-10-29,5702.05
2014-10-30,5737.31
2014-10-31,5807.05
2014-11-03,5806.57
2014-11-04,5786.61
2014-11-05,5815.48
2014-11-06,5841.85
2014-11-07,5845.50
2014-11-10,5864.97
2014-11-11,5869.03
2014-11-12,5870.89
2014-11-13,5867.97
2014-11-14,5869.81
2014-11-17,5868.39
2014-11-18,5900.74
2014-11-19,5886.78
2014-11-20,5904.69
2014-11-21,5934.16
2014-11-24,5957.36
2014-11-25,5952.51
2014-11-26,5969.85
2014-11-27,.
2014-11-28,5947.78
2014-12-01,5897.86
2014-12-02,5936.17
2014-12-03,5964.99
2014-12-04,5956.79
2014-12-05,5970.04
2014-12-08,5923.78
2014-12-09,5931.57
2014-12-10,5830.89
2014-12-11,5858.65
2014-12-12,5767.60
2014-12-15,5728.22
2014-12-16,5684.16
2014-12-17,5806.11
2014-12-18,5938.97
2014-12-19,5966.06
2014-12-22,5989.49
2014-12-23,6000.44
2014-12-24,6003.03
2014-12-25,.
2014-12-26,6025.41
2014-12-29,6034.34
2014-12-30,6006.12
2014-12-31,5947.71
2015-01-01,.
2015-01-02,5944.42
2015-01-05,5839.11
2015-01-06,5783.21
2015-01-07,5852.48
2015-01-08,5955.94
2015-01-09,5906.45
2015-01-12,5862.04
2015-01-13,5850.84
2015-01-14,5818.20
2015-01-15,5759.21
2015-01-16,5838.66
2015-01-19,.
2015-01-20,5842.97
2015-01-21,5868.55
2015-01-22,5961.93
2015-01-23,5933.27
2015-01-26,5958.10
2015-01-27,5886.54
2015-01-28,5805.87
2015-01-29,5861.32
2015-01-30,5782.18
2015-02-02,5852.26
