area,canonical,alternate,default,Lookup
act,STOC,STOC,TRUE,#N/A
act,FOCS,FOCS,TRUE,#N/A
act,SODA,SODA,TRUE,#N/A
ai,AAAI,AAAI,TRUE,AAAI
ai,AAAI,AAAI/IAAI,TRUE,AAAI
ai,IJCAI,IJCAI,TRUE,IJCAI
arch,ISCA,ISCA,TRUE,#N/A
arch,MICRO,MICRO,TRUE,#N/A
arch,ASPLOS,ASPLOS,TRUE,#N/A
bed,RTSS,RTSS,TRUE,#N/A
bed,RTAS,RTAS,TRUE,#N/A
bed,RTAS,IEEE Real-Time and Embedded Technology and Applications Symposium,TRUE,#N/A
bed,EMSOFT,EMSOFT,TRUE,#N/A
bio,RECOMB,RECOMB,TRUE,#N/A
bio,ISMB,ISMB,TRUE,#N/A
bio,Bioinformatics,Bioinformatics,TRUE,#N/A
bio,ISMB,ISMB/ECCB (Supplement of Bioinformatics),TRUE,#N/A
bio,ISMB,Bioinformatics [ISMB/ECCB],TRUE,#N/A
bio,ISMB,ISMB (Supplement of Bioinformatics),TRUE,#N/A
chi,CHI,CHI,TRUE,#N/A
chi,UbiComp,UbiComp,TRUE,#N/A
chi,UbiComp,Ubicomp,TRUE,#N/A
chi,Pervasive,Pervasive Computing,TRUE,#N/A
chi,IMWUT,"Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous Technologies",TRUE,#N/A
chi,UIST,UIST,TRUE,#N/A
comm,SIGCOMM,SIGCOMM,TRUE,#N/A
comm,INFOCOM,INFOCOM,TRUE,#N/A
comm,NSDI,NSDI,TRUE,#N/A
crypt,CRYPTO,CRYPTO,TRUE,#N/A
crypt,CRYPTO,CRYPTO (1),TRUE,#N/A
crypt,CRYPTO,CRYPTO (2),TRUE,#N/A
crypt,CRYPTO,CRYPTO (3),TRUE,#N/A
crypt,EUROCRYPT,EUROCRYPT,TRUE,#N/A
crypt,EUROCRYPT,EUROCRYPT (1),TRUE,#N/A
crypt,EUROCRYPT,EUROCRYPT (2),TRUE,#N/A
crypt,EUROCRYPT,EUROCRYPT (3),TRUE,#N/A
da,ICCAD,ICCAD,TRUE,#N/A
da,DAC,DAC,TRUE,#N/A
graph,ACM Trans. Graph.,ACM Trans. Graph.,TRUE,#N/A
graph,SIGGRAPH,SIGGRAPH,TRUE,#N/A
hpc,SC,SC,TRUE,#N/A
hpc,HPDC,HPDC,TRUE,#N/A
hpc,ICS,ICS,TRUE,#N/A
ir,WWW,WWW,TRUE,#N/A
ir,SIGIR,SIGIR,TRUE,#N/A
log,CAV,CAV,TRUE,#N/A
log,CAV,CAV (1),TRUE,#N/A
log,CAV,CAV (2),TRUE,#N/A
log,LICS,LICS,TRUE,#N/A
log,LICS,CSL-LICS,TRUE,#N/A
metrics,SIGMETRICS,SIGMETRICS,TRUE,#N/A
metrics,SIGMETRICS,SIGMETRICS/Performance,TRUE,#N/A
metrics,IMC,IMC,TRUE,#N/A
metrics,IMC,Internet Measurement Conference,TRUE,#N/A
mlmining,NIPS,NIPS,TRUE,#N/A
